SALAMANCA,LUNES,AMBULANCIA,CONDUCTOR,6,7.31E-8
CHAMARTIN,MARTES,FURGONETA,VIAJERO,15,1.826E-7
ARGANZUELA,SABADO,CAMION,CONDUCTOR,9,1.096E-7
TETUAN,LUNES,CICLOMOTOR,VIAJERO,9,1.096E-7
VILLA DE VALLECAS,MARTES,TURISMO,CONDUCTOR,27,3.288E-7
CENTRO,LUNES,MOTOCICLETA,TESTIGO,1,1.22E-8
CHAMBERI,SABADO,CAMION,VIAJERO,1,1.22E-8
SALAMANCA,SABADO,NO ASIGNADO,TESTIGO,295,0.0000035921
CIUDAD LINEAL,DOMINGO,TURISMO,CONDUCTOR,613,0.0000074642
CHAMARTIN,MIERCOLES,AUTO-TAXI,CONDUCTOR,95,0.0000011568
ARGANZUELA,VIERNES,AUTOBUS-AUTOCAR,CONDUCTOR,30,3.653E-7
TETUAN,JUEVES,NO ASIGNADO,TESTIGO,323,0.0000039330
FUENCARRAL-EL PARDO,VIERNES,CICLOMOTOR,CONDUCTOR,48,5.845E-7
LATINA,SABADO,TURISMO,VIAJERO,289,0.0000035190
CHAMBERI,VIERNES,CAMION,CONDUCTOR,16,1.948E-7
HORTALEZA,MARTES,MOTOCICLETA,CONDUCTOR,155,0.0000018874
LATINA,LUNES,AUTOBUS-AUTOCAR,VIAJERO,39,4.749E-7
CHAMARTIN,MARTES,AUTO-TAXI,VIAJERO,45,5.479E-7
VILLAVERDE,MARTES,AUTO-TAXI,CONDUCTOR,6,7.31E-8
MONCLOA-ARAVACA,DOMINGO,AUTOBUS-AUTOCAR,CONDUCTOR,10,1.218E-7
VICALVARO,LUNES,NO ASIGNADO,PEATON,26,3.166E-7
SALAMANCA,LUNES,CAMION,CONDUCTOR,23,2.801E-7
VILLA DE VALLECAS,LUNES,MOTOCICLETA,CONDUCTOR,4,4.87E-8
TETUAN,MARTES,FURGONETA,VIAJERO,15,1.826E-7
CHAMBERI,MARTES,AMBULANCIA,CONDUCTOR,5,6.09E-8
RETIRO,LUNES,CICLOMOTOR,VIAJERO,2,2.44E-8
HORTALEZA,JUEVES,MOTOCICLETA,VIAJERO,6,7.31E-8
CENTRO,MIERCOLES,NO ASIGNADO,VIAJERO,1,1.22E-8
RETIRO,VIERNES,TURISMO,VIAJERO,293,0.0000035677
VICALVARO,DOMINGO,TURISMO,CONDUCTOR,123,0.0000014977
MONCLOA-ARAVACA,JUEVES,MOTOCICLETA,CONDUCTOR,280,0.0000034094
SAN BLAS,VIERNES,VARIOS,CONDUCTOR,9,1.096E-7
MONCLOA-ARAVACA,SABADO,VARIOS,VIAJERO,3,3.65E-8
RETIRO,DOMINGO,AUTO-TAXI,VIAJERO,30,3.653E-7
CARABANCHEL,VIERNES,AUTOBUS-AUTOCAR,VIAJERO,22,2.679E-7
CIUDAD LINEAL,JUEVES,CICLOMOTOR,CONDUCTOR,58,7.062E-7
SAN BLAS,JUEVES,FURGONETA,CONDUCTOR,56,6.819E-7
MORATALAZ,JUEVES,MOTOCICLETA,VIAJERO,6,7.31E-8
BARAJAS,SABADO,BICICLETA,CONDUCTOR,21,2.557E-7
SAN BLAS,SABADO,FURGONETA,VIAJERO,9,1.096E-7
MONCLOA-ARAVACA,SABADO,MOTOCICLETA,CONDUCTOR,122,0.0000014855
USERA,LUNES,CAMION,VIAJERO,2,2.44E-8
CHAMARTIN,MIERCOLES,VARIOS,VIAJERO,7,8.52E-8
HORTALEZA,VIERNES,AUTOBUS-AUTOCAR,VIAJERO,10,1.218E-7
ARGANZUELA,DOMINGO,AUTOBUS-AUTOCAR,VIAJERO,23,2.801E-7
FUENCARRAL-EL PARDO,SABADO,AUTO-TAXI,CONDUCTOR,12,1.461E-7
BARAJAS,SABADO,CICLOMOTOR,CONDUCTOR,5,6.09E-8
CHAMARTIN,MARTES,AMBULANCIA,VIAJERO,3,3.65E-8
CENTRO,MARTES,NO ASIGNADO,VIAJERO,1,1.22E-8
MORATALAZ,SABADO,NO ASIGNADO,TESTIGO,83,0.0000010107
MORATALAZ,JUEVES,CAMION,CONDUCTOR,10,1.218E-7
ARGANZUELA,VIERNES,CAMION,VIAJERO,4,4.87E-8
CHAMARTIN,VIERNES,FURGONETA,CONDUCTOR,77,9.376E-7
SAN BLAS,DOMINGO,BICICLETA,CONDUCTOR,28,3.409E-7
LATINA,MARTES,VARIOS,CONDUCTOR,5,6.09E-8
LATINA,DOMINGO,CICLOMOTOR,VIAJERO,2,2.44E-8
FUENCARRAL-EL PARDO,JUEVES,AUTOBUS-AUTOCAR,VIAJERO,24,2.922E-7
SAN BLAS,VIERNES,CAMION,VIAJERO,1,1.22E-8
PUENTE DE VALLECAS,LUNES,CAMION,TESTIGO,1,1.22E-8
SALAMANCA,MIERCOLES,VEH.3 RUEDAS,CONDUCTOR,1,1.22E-8
CIUDAD LINEAL,MARTES,AMBULANCIA,CONDUCTOR,1,1.22E-8
CIUDAD LINEAL,VIERNES,TURISMO,VIAJERO,342,0.0000041644
SALAMANCA,SABADO,MOTOCICLETA,VIAJERO,48,5.845E-7
ARGANZUELA,JUEVES,AUTO-TAXI,CONDUCTOR,51,6.210E-7
SALAMANCA,MIERCOLES,NO ASIGNADO,VIAJERO,2,2.44E-8
SAN BLAS,MIERCOLES,AUTO-TAXI,VIAJERO,3,3.65E-8
